Weight_kg,Speed_kmh,Wheelbase_mm,Type,Weekday,Second
1476.65,85.25,2064.02,other,Mon,27.0
1349.77,91.67,2548.29,passenger,Mon,35.0
1618.92,85.37,3063.19,passenger,Mon,99.0
1794.29,76.38,2462.53,passenger,Mon,105.0
1444.77,114.53,2134.5,passenger,Mon,146.0
1511.46,106.03,2674.23,passenger,Mon,147.0
1907.59,79.01,2649.32,passenger,Mon,148.0
1258.2,109.77,2945.98,passenger,Mon,156.0
701.51,158.35,2340.18,passenger,Mon,202.0
1142.19,121.96,3183.12,passenger,Mon,244.0
1429.64,103.31,3066.65,passenger,Mon,268.0
2044.89,72.74,3112.38,passenger,Mon,275.0
1745.06,83.65,3165.7,passenger,Mon,279.0
1789.34,109.06,2866.45,other,Mon,279.0
1610.9,80.74,3161.12,passenger,Mon,294.0
1243.66,119.91,3380.74,passenger,Mon,294.0
1258.51,117.97,2955.43,other,Mon,321.0
1366.6,121.14,3170.88,passenger,Mon,323.0
1355.45,84.37,2073.28,passenger,Mon,331.0
1182.11,133.19,3230.34,other,Mon,367.0
1264.32,85.1,3165.73,other,Mon,427.0
1928.22,106.18,2860.67,passenger,Mon,465.0
1586.66,103.11,2832.15,passenger,Mon,518.0
2091.57,69.81,2443.93,passenger,Mon,546.0
1369.75,105.87,2810.27,passenger,Mon,588.0
1947.22,67.29,2826.74,passenger,Mon,613.0
1846.21,83.3,3209.57,passenger,Mon,614.0
1595.72,108.73,3267.91,other,Mon,617.0
1151.99,137.29,3115.33,passenger,Mon,683.0
1399.41,71.91,2755.51,other,Mon,725.0
2054.95,71.09,3157.74,passenger,Mon,729.0
1497.73,102.18,2231.55,passenger,Mon,750.0
1344.92,113.1,2300.14,passenger,Mon,774.0
917.63,145.47,2707.7,passenger,Mon,779.0
1506.6,95.63,2273.48,other,Mon,813.0
1509.35,72.69,2502.6,other,Mon,854.0
1330.4,109.5,2291.78,passenger,Mon,857.0
1649.25,79.8,2689.37,passenger,Mon,861.0
1711.12,92.75,2051.88,passenger,Mon,863.0
1878.03,96.01,3060.43,passenger,Mon,876.0
1718.6,87.9,3277.92,passenger,Mon,877.0
1411.43,103.01,3473.74,passenger,Mon,883.0
2053.83,65.88,2981.2,passenger,Mon,888.0
1397.12,117.54,3427.14,other,Mon,944.0
1676.19,99.9,3282.35,passenger,Mon,946.0
1741.7,88.59,2346.14,passenger,Mon,950.0
1513.63,88.03,2882.92,passenger,Mon,957.0
1119.65,123.04,2900.03,passenger,Mon,982.0
1147.22,130.49,2678.29,passenger,Mon,985.0
1689.61,91.69,2112.98,passenger,Mon,986.0
1323.52,107.2,2860.98,passenger,Mon,1029.0
1206.33,95.09,2256.46,other,Mon,1036.0
1150.81,84.09,3175.26,other,Mon,1038.0
1286.96,107.98,2888.37,passenger,Mon,1057.0
1908.98,79.16,2719.9,passenger,Mon,1063.0
1748.26,75.32,2584.2,passenger,Mon,1089.0
1899.55,74.59,2483.99,passenger,Mon,1094.0
1152.89,100.8,3281.63,other,Mon,1109.0
907.27,100.96,3143.64,other,Mon,1132.0
1333.67,90.81,2685.06,passenger,Mon,1136.0
1673.01,89.56,3186.39,other,Mon,1143.0
1473.09,102.03,2397.25,passenger,Mon,1166.0
1782.03,113.38,2087.68,other,Mon,1172.0
674.81,150.81,3042.48,passenger,Mon,1210.0
1793.91,78.55,2585.32,passenger,Mon,1210.0
1355.84,109.81,3372.35,passenger,Mon,1236.0
772.82,153.33,3425.29,passenger,Mon,1240.0
1724.61,130.99,2960.19,other,Mon,1251.0
758.89,133.13,2491.94,passenger,Mon,1256.0
1582.94,92.77,3136.96,passenger,Mon,1259.0
1348.33,115.59,3176.7,passenger,Mon,1314.0
648.36,154.43,3427.21,passenger,Mon,1321.0
1528.03,104.64,2726.64,other,Mon,1333.0
1635.79,96.21,2951.0,passenger,Mon,1361.0
1960.74,65.42,2332.02,passenger,Mon,1365.0
1712.41,89.79,2540.04,passenger,Mon,1383.0
1528.93,86.88,3014.69,passenger,Mon,1395.0
1312.98,103.61,3158.41,passenger,Mon,1408.0
1850.38,82.88,2108.36,passenger,Mon,1426.0
965.29,125.62,2023.05,passenger,Mon,1448.0
1540.52,95.83,2591.56,passenger,Mon,1454.0
1755.07,91.87,3138.65,other,Mon,1455.0
